א	אַלעף
פֿאַרקנסט	פֿאַרקנאַסט
פֿאַרקנסן	פֿאַרקנאַסן
פֿאַרשיכּורט	פֿאַרשיכּערט
פֿאַרשיכּורן	פֿאַרשיכּערן
פֿאַרשמט	פֿאַרשעמט
פֿאַרשׂרפֿען	פֿאַרשׂאַרפֿען
פֿאַרתּכלעווען	פֿאַרתּאַכלעווען
פֿצון	פֿאָצן
צ	צאַדעק
צאינה־וראינה	צענערענעה
צאָן קדשים	צאָן קאָדאָשים
צאָן־קדשים	צאָן־קאָדאָשים
צאת הכּוכבֿים	ציית האַקויכאָווים
צאת־הכּוכבֿים	ציית־האַקויכאָווים
צאתך לשלום	צייתכע לעשאָלעם
צאתך־לשלום	צייתכע־לעשאָלעם
צאתכם לשלום	צייתכעם לעשאָלעם
צאתכם־לשלום	צייתכעם־לעשאָלעם
צבֿויאַטשען	צוווּיאַטשען
צבֿויאַטשקע	צוווּיאַטשקע
צבֿויאַטשקעס	צוווּיאַטשקעס
צבֿויאַק	צוווּיאַק
צבֿויאַקעס	צוווּיאַקעס
צבֿועטשען	צוווּאַטשען
צבֿועטשקע	צוווּאַטשקע
צבֿועטשקעס	צוווּאַטשקעס
צבֿועק	צוווּאַק
צבֿועקעס	צוווּאַקעס
צבֿי	צבֿי
צבֿיה	ציוויעה
צבֿיס	צבֿיס
צבֿיעות	צבֿיִעת
צד	צאַד
צד השווה	צאַד האַשאָוועה
צד־השווה	צאַד־האַשאָוועה
צד השונה	צאַד האַשוינעה
צד־השונה	צאַד־האַשוינעה
צד שכּנגד	צאַד שעכּענעגעד
צד־שכּנגד	צאַד־שעכּענעגעד
צד שכּנגדו	צאַד שעכּענעגדע
צד־שכּנגדו	צאַד־שעכּענעגדע
צדדים	צדאָדים
צדה לדרך	ציידע לאַדערעך
צדה־לדרך	ציידע־לאַדערעך
צדוק	צאָדעק
צדוקים	צדוקים
צדוקן	צאָדעקן
צדוקס	צאָדעקס
צדי	צאַדי
צדיק	צאַדעק
צדיק הדור	צאַדעק האַדאָר
צדיק־הדור	צאַדעק־האַדאָר
צדיק תּמים	צאַדעק תּאָמעם
צדיק־תּמים	צאַדעק־תּאָמעם
צדיקי הדור	צאַדיקע האַדאָר
צדיקי־הדור	צאַדיקע־האַדאָר
צדיקים	צאַדיקים
צדיקים תּמימים	צאַדיקים תּמימים
צדיקים־תּמימים	צאַדיקים־תּמימים
צדק	צעדעק
צדקה	צדאָקעה
צדקה ממני	צאָדקאָ מימעני
צדקה תּציל ממוות	צדאָקע תּאַצל מימאָוועת
צדקה גדולה	צדאָקע גדוילעה
צדקה־גדולה	צדאָקע־גדוילעה
צדקה פּושקע	צדאָקע פּושקע
צדקה־פּושקע	צדאָקע־פּושקע
צדקות	צדאָקעת
צדקניות	ציטקאָניעת
צדקנית	ציטקאָנעת
צדקת	צעדייקעת
צדקתטע	צעדייקעתטע
צהלה	צאָהאָלעה
צהלה ושׂמחה	צאָהאַלע וועשׂאָמייחעה
צהלה־ושׂמחה	צאָהאַלע־וועשׂאָמייחעה
צו	צאַוו
צו להכעיס	צעלאָכעס
צואה	צאַוואָע,צויעה
צוהר	צויער
צוואה	צאַוואָעה
צוואָות	צאַוואָעת
צולהכעיס	צעלאָכעס
צולהכעיסדיק	צעלאָכעסדיק
צולהכעיסניצע	צעלאָכעסניצע
צולהכעיסניק	צעלאָכעסניק
צום	צאָם
צום־גדליה	צאָמגעדאַליעה
צומח	צוימייעח
צופּסקען	צופּאַסקען
צופּסקענען	צופּאַסקענען
צורבֿא דרבנן	צורבֿע דעראַבאָנען
צורבֿא־דרבנן	צורבֿע־דעראַבאָנען
צורה	צורעה
צורות	צורעת
צורך	צוירעך
צורר	צוירער
צורר היהודים	צוירער האַיעהודים
צורר־היהודים	צוירער־האַיעהודים
צורר ישׂראל	צוירער ייִשׂראָעל
צורר־ישׂראל	צוירער־ייִשׂראָעל
צוררים	צאָרערים
צורת אות	צורעת אָת
צורת־אות	צורעת־אָת
צורת אַלף	צורעת אַלעף
צורת־אַלף	צורעת־אַלעף
צורת מטבע	צורעת מאַטבייע
צורת־מטבע	צורעת־מאַטבייע
ציבור	ציבער
ציבורים	ציבורים
צידוק הדין	צידעק האַדין
צידוק־הדין	צידעק־האַדין
צידקות	ציטקעת
ציון	ציִען
ציונות	ציִוינעת
ציוני	ציִויני
ציוניזם	ציִעניזם
ציונים	ציִונים
ציוניסט	ציִעניסט
ציוניסטיש	ציִעניסטיש
ציוניסטישן	ציִעניסטישן
ציוניסטישע	ציִעניסטישע
ציוניסטישער	ציִעניסטישער
ציוניסטן	ציִעניסטן
ציוניסטס	ציִעניסטס
צימוקים	צימוקים
צימצום	צימצעם
צינור	צינער
צינורות	צינוירעת
ציצה	ציצעה
ציצה כּנפֿות	ציצע כּאַנפֿעת
ציצה־כּנפֿות	ציצע־כּאַנפֿעת
ציצה כּנפֿותלעך	ציצע כּאַנפֿעתלעך
ציצה־כּנפֿותלעך	ציצע־כּאַנפֿעתלעך
ציצות	ציצעת
ציצית	ציצעת
צירוף	ציירעף
צירופֿי אותיות	ציירופֿע אויתיעת
צירופֿי־אותיות	ציירופֿע־אויתיעת
צירופֿים	ציירופֿים
צירי	ציירע
צלאל	צאַלעל
צלאלן	צאַלעלן
צלאלס	צאַלעלס
צלל	צאַלעל
צללן	צאַלעלן
צללס	צאַלעלס
צלם	ציילעם
צלם אלוהים	ציילעם עלויהים
צלם־אלוהים	ציילעם־עלויהים
צלם אלוקים	ציילעם עלויקים
צלם־אלוקים	ציילעם־עלויקים
צלם קאָפּ	ציילעם קאָפּ
צלם־קאָפּ	ציילעם־קאָפּ
צלמוות	צאַלמאָוועת
צלמים	צלאָמים
צלמניצע	ציילעמניצע
צלמניק	ציילעמניק
צלמען	ציילעמען
צמח	צעמעח
צמחים	צמאָחים
צנא דמלא סיפֿרא	צאַנע דימלע סיפֿרע
צנא־דמלא־סיפֿרא	צאַנע־דימלע־סיפֿרע
צנועה	צנועה
צנועהדיק	צנועדיק
צנועהדיקן	צנועדיקן
צנועהדיקס	צנועדיקס
צנועהדיקע	צנועדיקע
צנועהדיקער	צנועדיקער
צנועהלע	צנועלע
צנועות	צנועת
צניעות	צניִעת
צניעותדיק	צניִעתדיק
צניעותדיקן	צניִעתדיקן
צניעותדיקס	צניִעתדיקס
צניעותדיקע	צניִעתדיקע
צניעותדיקער	צניִעתדיקער
צעדמען	צעדאַמען
צעחושט	צעחושט
צעמזיקן	צעמאַזעקן
צער	צאַר
צער בעלי חיים	צאַר באַלעכאַיִם
צער־בעלי־חיים	צאַר־באַלעכאַיִם
צער גידול בנים	צאַר גידל באָנים
צער־גידול־בנים	צאַר־גידל־באָנים
צפּורה	ציפּוירעה
צפֿון	צאָפֿן
צפֿניה	צפֿאַניעה
צפֿרדע	צפֿאַרדייע
צפֿת	צפֿאַת
צץ	צאָץ
צר עין	צאַר אַיִן
צר־עין	צאַר־אַיִן
צרה	צאָרעה
צרה שלא תבֿוא	צאָרע שעלוי סאָוווי
צרה־שלא־תבֿוא	צאָרע־שעלוי־סאָוווי
צרהדיק	צאָרעדיק
צרות	צאָרעת
צרות הכּלל	צאָרעת האַכּלאַל
צרות־הכּלל	צאָרעת־האַכּלאַל
צרות ישׂראל	צאָרעת ייִשׂראָעל
צרות־ישׂראל	צאָרעת־ייִשׂראָעל
צרות צרורות	צאָרעת צרורעת
צרות־צרורות	צאָרעת־צרורעת
צרכי ציבור	צאָרכע ציבער
צרכי־ציבור	צאָרכע־ציבער
צרכי רבים	צאָרכע ראַבים
צרכי־רבים	צאָרכע־ראַבים
צרכים	צראָכים
צרעת	צאָראַאַת
צרת רבים	צאָרעת ראַבים
צרת־רבים	צאָרעת־ראַבים
צרת רבים חצי נחמה	צאָרעת ראַבים חאָצי נעחאָמעה
צרת־רבים חצי־נחמה	צאָרעת־ראַבים חאָצי־נעחאָמעה
ק	קוף
קבלה	קאַבאָלעה
קבלה מעשׂית	קאַבאָלע מײַשׂית
קבלה־מעשׂית	קאַבאָלע־מײַשׂית
קבלה עיונית	קאַבאָלע איִונית
קבלה־עיונית	קאַבאָלע־איִונית
קבלו דעתּי	קאַבלו דאַתּי
קבלות	קאַבאָלעת
קבלת פּנים	קאַבאָלעת פּאָנעם
קבלת־פּנים	קאַבאָלעת־פּאָנעם
קבלת קנין	קאַבאָלעת קיניען
קבלת־קנין	קאַבאָלעת־קיניען
קבלת שבת	קאַבאָלעת שאַבעת
קבלת־שבת	קאַבאָלעת־שאַבעת
קבצן	קאַבצן,קאַפּצן
קבצנות	קאַבצאָנעת,קאַפּצאָנעת
קבצנטע	קאַבצנטע,קאַפּצנטע
קבצנטעס	קאַבצנטעס
קבצנים	קאַבצאָנים,קאַפּצאָנים
קבצניש	קאַבצאָניש
קבצנישן	קאַבצאָנישן
קבצנישע	קאַבצאָנישע
קבצנישער	קאַבצאָנישער
קבצנען	קאַבצענען,קאַפּצענען
קברן	קאַברען
קברנים	קאַבראָנים
קברנס	קאַברענס
קבֿ הישר	קאַבֿ האַיאָשער
קבֿ־הישר	קאַבֿ־האַיאָשער
קבֿורה	קוווּרעה
קבֿורת חמור	קוווּרעת חאַמער
קבֿורת־חמור	קוווּרעת־חאַמער
קבֿורת ישׂראל	קוווּרעת ייִשׂראָעל
קבֿורת־ישׂראל	קוווּרעת־ייִשׂראָעל
קבֿיעות	קבֿיִעת
קבֿר	קייבֿער
קבֿר אָבֿות	קייבֿער אָוועת
קבֿר־אָבֿות	קייבֿער־אָוועת
קבֿר ישׂראל	קייבֿער ייִשׂראָעל
קבֿר־ישׂראל	קייבֿער־ייִשׂראָעל
קבֿרות	קבֿאָרעת
קבֿרות בלעטער	קבֿאָרעת בלעטער
קבֿרות־בלעטער	קבֿאָרעת־בלעטער
קבֿרות ייִד	קבֿאָרעת ייִד
קבֿרות־ייִד	קבֿאָרעת־ייִד
קבֿרות מאַן	קבֿאָרעת מאַן
קבֿרות־מאַן	קבֿאָרעת־מאַן
קבֿרות שטיבל	קבֿאָרעת שטיבל
קבֿרות־שטיבל	קבֿאָרעת־שטיבל
קבֿרותניק	קבֿאָרעתניק
קבֿרים	קבֿאָרים
קדוש	קאָדעש,קידעש
קדוש וטהור	קאָדעש וועטאָהער
קדוש־וטהור	קאָדעש־וועטאָהער
קדושה	קדושעה
קדושים	קדוישים
קדושים וטהורים	קדוישים אוטעהוירים
קדושים־וטהורים	קדוישים־אוטעהוירים
קדחת	קאַדאָחעת
קדחת רבֿיעית	קאַדאָחעת רעבֿיִעת
קדחת־רבֿיעית	קאַדאָחעת־רעבֿיִעת
קדחת שלישית	קאַדאָחעת שלישעת
קדחת־שלישית	קאַדאָחעת־שלישעת
קדיש	קאַדעש
קדישים	קאַדיישים
קדישניק	קאַדעשניק
קדמא ואזלא	קאַדמע וועאַזלע
קדמא־ואזלא	קאַדמע־וועאַזלע
קדמון	קאַדמען
קדמונים	קאַדמוינים
קדר	קיידער
קדרים	קדאָרים
קדשי קדשים	קאָדשע קאָדאָשים
קדשי־קדשים	קאָדשע־קאָדאָשים
קדשים	קאָדאָשים,קאָדשים
קדשים קלים	קאָדאָשים קאַלים,קאָדשים קאַלים
קדשים־קלים	קאָדאָשים־קאַלים,קאָדשים־קאַלים
קהילה	קעהילעה
קהילה קדושה	קעהילע קדוישעה
קהילה־קדושה	קעהילע־קדוישעה
קהילות	קעהילעת
קהל	קאָאָל
קהל חסידים	קעהאַל חאַסידים,קעהאַל כסידים
קהל־חסידים	קעהאַל־חאַסידים,קעהאַל־כסידים
קהליש	קאָאָליש
קהלן	קאָאָלן
קהלס מאַן	קאָאָלס מאַן
קהלס־מאַן	קאָאָלס־מאַן
קהלש	קאָאָלש
קהלת	קויהעלעת
קובוץ	קובוץ
קובֿע	קויבֿייע
קובֿר	קויבֿער
קודם	קוידעם
קודם־כּל	קוידעמכּאָל
קודם לכּל	קוידעם לאַכּל
קודם־לכּל	קוידעם־לאַכּל
קודש	קוידעש
קודש קדשים	קוידעש קאָדאָשים
קודש־קדשים	קוידעש־קאָדאָשים
קודשא בריך הוא	קודשע בעריך הו
קודשא־בריך־הוא	קודשע־בעריך־הו
קול	קאָל
קול התּורה	קאָל האַתּוירעה
קול־התּורה	קאָל־האַתּוירעה
קול מבֿשׂר	קאָל מעבֿאַשׂער
קול־מבֿשׂר	קאָל־מעבֿאַשׂער
קול נגינה	קאָל נעגינעה
קול־נגינה	קאָל־נעגינעה
קול־קורא	קאָלקוירע
קולא	קולע
קולות	קוילעת
קולות ובֿרקים	קוילעס אוּווראָקים
קולות־ובֿרקים	קוילעס־אוּווראָקים
קולי קולות	קוילע קוילעת
קולי־קולות	קוילע־קוילעת
קולכל	קעלכל
קולעכל	קעלעכל
קולער	קעלער
קוממיות	קוימעמיִעת
קונדס	קונדעס
קונדסים	קונדייסים
קונדסערײַ	קונדעסערײַ
קונה	קוינעה
קונה הכּל	קוינע האַכּל
קונה־הכּל	קוינע־האַכּל
קונה זכות	קוינע סכות
קונה־זכות	קוינע־סכות
קונה עולם	קוינע אוילעם
קונה־עולם	קוינע־אוילעם
קונה שם	קוינע שעם
קונה־שם	קוינע־שעם
קונהטע	קוינעטע
קונהטעס	קוינעטעס
קונטרס	קונטרעס
קונטרסים	קונטרייסים
קונים	קוינים
קופּה של שרצים	קופּע שעל שראָצים
קופּה־של־שרצים	קופּע־שעל־שראָצים
קוף	קוף
קופֿץ בראָש	קויפֿעץ בעראָש
קופֿץ־בראָש	קויפֿעץ־בעראָש
קוצו של יוד	קויצע שעליוד,קוצע שעליוד
קוצו־של־יוד	קויצע־שעליוד,קוצע־שעליוד
קורא ניכבד	קוירע ניכבעד
קורא־ניכבד	קוירע־ניכבעד
קוראים נכבדים	קוירים ניכבאָדים
קוראים־נכבדים	קוירים־ניכבאָדים
קורח	קוירעח
קורע	קוירייע
קורע כּדג	קוירייע כּעדאַג
קורע־כּדג	קוירייע־כּעדאַג
קטורת	קטוירעת
קטיגור	קאַטייגער
קטיגורס	קאַטייגערס
קטלא קניא	קאַטלע קאַניע
קטלא־קניא	קאַטלע־קאַניע
קטלן	קאַטלען
קטלניות	קאַטלאַניעת
קטלנים	קאַטלאָנים
קטלנית	קאַטלאַנעת
קטן	קאָטן
קטנות דמוחין	קאַטנעת דעמויכן
קטנות־דמוחין	קאַטנעת־דעמויכן
קטני אמונה	קטאַניי עמונעה
קטני־אמונה	קטאַניי־עמונעה
קטני אמנה	קטאַניי עמאָנעה
קטני־אמנה	קטאַניי־עמאָנעה
קטנים	קטאַנים
קטנתּי	קאָטוינתּי
קיאה	קייעה
קיבוץ	קיבוץ,קיבעץ
קיבוץ גלויות	קיבעץ גאָליעת
קיבוץ־גלויות	קיבעץ־גאָליעת
קיבוצים	קיבוצים
קידוש	קידעש
קידוש החודש	קידעש האַחוידעש
קידוש־החודש	קידעש־האַחוידעש
קידוש השם	קידעש האַשעם
קידוש־השם	קידעש־האַשעם
קידוש לבֿנה	קידעש לעבֿאָנעה
קידוש־לבֿנה	קידעש־לעבֿאָנעה
קידוש לבֿנה אותיות	קידעש לעבֿאָנע אויתיעת
קידוש־לבֿנה־אותיות	קידעש־לעבֿאָנע־אויתיעת
קידושין	קידושין,קידושן
קיום	קיִעם
קיום האומה	קיִעם האָומעה
קיום־האומה	קיִעם־האָומעה
קיטניות	קיטניעת
קיטרוג	קיטרעג
קײַמא־לן	קײַמעלאָן
קין	קאַיִן
קינאה	קינעה
קינאה שׂינאה	קינע שׂינעה
קינאה־שׂינאה	קינע־שׂינעה
קינאת סופֿרים	קינעת סאָפֿרים
קינאת־סופֿרים	קינעת־סאָפֿרים
קינה	קינעה
קינות	קינעת
קינים	קינים
קיסר	קייסער
קיסר ירום הודו	קייסער יאָרעם הוידע
קיסרים	קייסאָרים,קיסריִיִם
קיסריניע	קייסעריניע
קיסרינע	קייסערינע
קיצבֿה	קיצבֿעה
קיצור	קיצער
קיצור הדבֿר	קיצער האַדאָבֿער
קיצור־הדבֿר	קיצער־האַדאָבֿער
קיצור המעשׂה	קיצער האַמײַסעה
קיצור־המעשׂה	קיצער־האַמײַסעה
קיצור ימים	קיצער יאָמים
קיצור־ימים	קיצער־יאָמים
קיצורים	קיצורים
קיר״ה	קירעה
קיר״ה דײַטש	קירע דײַטש
קיר״ה־דײַטש	קירע־דײַטש
קל	קאַל
קל־וחומר	קאַלוועכוימער
קל שבקלים	קאַל שעבעקאַלים
קל־שבקלים	קאַל־שעבעקאַלים
קלאָץ קשיא	קלאָץ קאַשע
קלאָץ־קשיא	קלאָץ־קאַשע
קלונימוס	קלוינעמעס
קלות	קאַלעת
קלות דעת	קאַלעת דאַאַת
קלות־דעת	קאַלעת־דאַאַת
קלות ראָש	קאַלעת ראָש
קלות־ראָש	קאַלעת־ראָש
קליין־ש״ס	קליינשאַס
קליפּה	קליפּעה
קליפּות	קליפּעת
קללה	קלאָלעה
קללהן	קלאָלען
קללות	קלאָלעת
קללות וחרמות	קלאָלעס אוחראָמעת
קללות־וחרמות	קלאָלעס־אוחראָמעת
קללות חרמות	קלאָלעת חראָמעת
קללות־חרמות	קלאָלעת־חראָמעת
קללות נימרצות	קלאָלעת נימראָצעת
קללות־נימרצות	קלאָלעת־נימראָצעת
קלמן	קאַלמען
קלסתּר פּנים	קלאַסתּער פּאָנעם
קלסתּר־פּנים	קלאַסתּער־פּאָנעם
קלפּי	קאַלפּע
קלפֿי	קאַלפֿע
קמח פּסח	קעמעח פּייסעח
קמח־פּסח	קעמעח־פּייסעח
קמחא דפּסחא	קימחע דעפּאַסחע
קמחא־דפּסחא	קימחע־דעפּאַסחע
קמיע	קאַמייע
קמיעות	קאַמייעת
קמץ	קאָמעץ
קמצן	קאַמצן
קמצנות	קאַמצאָנעת
קמצנטע	קאַמצנטע
קמצנטעס	קאַמצנטעס
קמצנים	קאַמצאָנים
קמצנס	קאַמצנס
ק״ן	קאַן
קן־ציפּור	קענציפּער
קנאָות	קאַנאָעת
קנאָי	קאַנאָיִ
קנאָים	קאַנאָיִם
קנאָיש	קאַנאָיִש
קנאָישן	קאַנאָיִשן
קנאָישע	קאַנאָיִשע
קנאָישער	קאַנאָיִשער
קנה	קאָנעה
קנוניא	קנוניע
קניה	קניִעה
קנין	קיניען
קנין הקהל	קיניען האַקאָאָל
קנין־הקהל	קיניען־האַקאָאָל
קנינים	קיניאָנים
קנס	קנאַס
קנס מאָל	קנאַס מאָל
קנס־מאָל	קנאַס־מאָל
קנסים	קנאָסים
קנסען	קאַנסען
קנסענען	קאַנסענען
קערה	קאַאַרע,קײַרעה
קערות	קאַאַרעס,קײַרעת
קפּדן	קאַפּדן
קפּדנים	קאַפּדאָנים
קפּידא	קפּיידע
קפּידה	קפּיידעה
קפֿיצת הדרך	קפֿיצעת האַדערעך
קפֿיצת־הדרך	קפֿיצעת־האַדערעך
קפֿריסין	קאַפֿריסן
קפֿריסינדיק	קאַפֿריסנדיק
קץ	קעץ
קץ הימין	קעץ האַיאָמען
קץ־הימין	קעץ־האַיאָמען
קצבֿ	קאַצעבֿ
קצבֿות	קאַצאָוועת
קצבֿטע	קאַצעבֿטע
קצבֿים	קאַצאָבֿים
קצבֿיש	קאַצאָבֿיש
קצבֿישן	קאַצאָבֿישן
קצבֿישע	קאַצאָבֿישע
קצבֿישער	קאַצאָבֿישער
קצין	קאָצן
קצינים	קצינים
ק״ק	קאַק
קקיון דיונה	קיקויען דעיוינעה
קקיון־דיונה	קיקויען־דעיוינעה
ק״קעלע קהל	קעקעלע קאָאָל
ק״קעלע־קהל	קעקעלע־קאָאָל
קראָי	קראָיִ
קרבן	קאָרבן
קרבן מינחה	קאָרבן מינחעה
קרבן־מינחה	קאָרבן־מינחעה
קרבן מינחה סידור	קאָרבן מינחע סידער
קרבן־מינחה־סידור	קאָרבן־מינחע־סידער
קרבנות	קאָרבאָנעת
קרבֿות	קרייוועת
קרובֿ	קאָרעוו
קרובֿ לאמת	קאָרעוו לעעמעת
קרובֿ־לאמת	קאָרעוו־לעעמעת
קרובֿ למלכות	קאָרעוו לעמאַלכעת
קרובֿ־למלכות	קאָרעוו־לעמאַלכעת
קרובֿ למקח	קאָרעוו לעמייקעח
קרובֿ־למקח	קאָרעוו־לעמייקעח
קרובֿה	קרויבֿעה
קרובֿהטע	קרויבֿעטע
קרובֿהטעס	קרויבֿעטעס
קרובֿטע	קאָרעווטע
קרובֿים	קרויבֿים
קרובֿים למלכות	קרויבֿים לעמאַלכעת
קרובֿים־למלכות	קרויבֿים־לעמאַלכעת
קרובֿישאַפֿט	קרויבֿישאַפֿט
קרוע בלוע	קרוע בלוע
קרוע־בלוע	קרוע־בלוע
קרועה ובֿלויה	קרוע אוּוולועה
קרועה־ובֿלויה	קרוע־אוּוולועה
קרח	קוירעח
קרי	קיירע,קערי,קרי
קריאת התּורה	קריִעת האַתּוירעה
קריאת־התּורה	קריִעת־האַתּוירעה
קריאת־שמע	קרישמע
קריעה	קריִעה
קריעת ים סוף	קריִעת יאַמסוף
קריעת־ים־סוף	קריִעת־יאַמסוף
קרירה	קרירעה
קרן	קערן
קרן קימת	קערן קאַיעמעת
קרן־קימת	קערן־קאַיעמעת
קרקע	קאַרקע
קרקע בתולה	קאַרקע פּתולעה
קרקע־בתולה	קאַרקע־פּתולעה
קרקעות	קאַרקאָעת
קרשים	קראָשים
קשה	קאָשעה
קשה עורף	קשיי אוירעף
קשה־עורף	קשיי־אוירעף
קשי עורף	קשי אוירעף
קשי־עורף	קשי־אוירעף
קשיא	קאַשע
קשיות	קאַשעת
קשר	קעשער
קשת	קאַשעת
ר	רייש
ר׳	רעב
ראה	רעייה
ראובֿן	רוּוון
ראובֿנס	רוּוונס
ראָוי	ראָע
ראָוי להוראה	ראָע לעהויראָעה
ראָוי־להוראה	ראָע־לעהויראָעה
ראָוי לחופּה	ראָע לעחופּעה
ראָוי־לחופּה	ראָע־לעחופּעה
ראַיה	רײַעה
ראיה	ריִעה
ראַיה לדבֿר	רײַע לעדאָבֿער
ראַיה־לדבֿר	רײַע־לעדאָבֿער
ראַיות	רײַעת
ראַיות ברורות	רײַעת ברורעת
ראַיות־ברורות	רײַעת־ברורעת
רא״ש	ראָש
ראָש	ראָש
ראָש בית דין	ראָש בעזדן,ראָש בעזן,ראָשע בעזדן,ראָשע בעזן
ראָש־בית־דין	ראָש־בעזדן,ראָש־בעזן,ראָשע־בעזדן,ראָשע־בעזן
ראָש הגולה	ראָש האַגוילעה
ראָש־הגולה	ראָש־האַגוילעה
ראָש הדיינים	ראָש האַדאַיאָנים
ראָש־הדיינים	ראָש־האַדאַיאָנים
ראָש המדברים	ראָש האַמעדאַברים
ראָש־המדברים	ראָש־האַמעדאַברים
ראָש־הקהל	ראָשאַקאָאָל
ראָש־השנה	ראָשעשאָנעה
ראָש וראשון	ראָש ווערישן
ראָש־וראשון	ראָש־ווערישן
ראָש־חודש	רעשחוידעש
ראָש חודש געלט	רעשחוידעש געלט
ראָש־חודש־געלט	רעשחוידעש־געלט
ראָש חודש רעטעכל	רעשחוידעש רעטעכל
ראָש־חודש־רעטעכל	רעשחוידעש־רעטעכל
ראָש־ישיבֿה	ראָשיעשיבֿעה
ראש־עירון	רעשיירן
ראשו ורובו	רוישע ווערובע
ראשו־ורובו	רוישע־ווערובע
ראשון	רישן
ראשונים	רישוינים
ראָשי הגולה	ראָשע האַגוילעה
ראָשי־הגולה	ראָשע־האַגוילעה
ראָשי המדברים	ראָשע האַמעדאַברים
ראָשי־המדברים	ראָשע־האַמעדאַברים
ראָשי־הקהל	ראָשעקאָאָל
ראשי ורובי	רוישי ווערובי
ראשי־ורובי	רוישי־ווערובי
ראָשי ישיבֿות	ראָשע יעשיוועת
ראָשי־ישיבֿות	ראָשע־יעשיוועת
ראָשי־פּרקים	ראָשעפּראָקים
ראָשי־תּיבֿות	ראָשעטייוועת
ראשית	ריישעת
ראשית דבֿר	ריישעת דאָבֿער
ראשית־דבֿר	ריישעת־דאָבֿער
ראשית חכמה	ריישעס כאָכמעה
ראשית־חכמה	ריישעס־כאָכמעה
רב	רעב
רבא בר בר חנה	ראַבע באַר באַר חאָנעה
רבא בר־בר־חנה	ראַבע באַר־באַר־חאָנעה
רבה בר בר חנה	ראַבע באַר באַר חאָנעה
רבה בר־בר־חנה	ראַבע באַר־באַר־חאָנעה
רבונא דעלמא	ריבוינע דעאַלמע
רבונא־דעלמא	ריבוינע־דעאַלמע
רבונא דעלמא כּולא	ריבוינע דעאַלמע כּולע
רבונא־דעלמא־כּולא	ריבוינע־דעאַלמע־כּולע
רבונו של עולם	רעבוינע שעלוילעם
רבונו־של־עולם	רעבוינע־שעלוילעם
רבותי	ראַבויסײַ
רבותים	ראַבויתים
רבי	רעבע
רבי געלט	רעבע געלט
רבי־געלט	רעבע־געלט
רביים	ראַבעיִם
רבייִש	ראַבעיִש
רבים	ראַבים
רבין	רעבם
רביניו	רעבעניו
רבינס	רעבמס
רביס	רעבעס
רביסטווע	רעביסטווע
רביצין	רעבעצן
רביצינס	רעבעצנס
רביש	רעבעש
רבישאַפֿט	רעבעשאַפֿט
רבנו	ראַביינו
רבנו תּם	ראַביינו תּאַם
רבנו תּמס תּפֿילין	ראַביינו תּאַמס תּפֿילן
רבנות	ראַבאָנעת
רבנים	ראַבאָנים
רבניש	ראַבאָניש
רבנן קדיש	ראַבאָנען קאַדעש
רבנן־קדיש	ראַבאָנען־קאַדעש
רבֿ	ראָבֿ,ראַבֿ
רבֿ הכּולל	ראַבֿ האַכּוילעל
רבֿ־הכּולל	ראַבֿ־האַכּוילעל
רבֿ הראָשי	ראַבֿ האָראָשי
רבֿ־הראָשי	ראַבֿ־האָראָשי
רבֿותא	רעוווּתע
רבֿיעי	רעבֿיִיִ
רבֿל	רעבֿל
רבֿס	ראָבֿס
רבֿקה	ריווקע,ריפֿקעה
רבֿקהלע	ריבֿקעלע
רבֿקהלען	ריבֿקעלען
רבֿקהלעס	ריבֿקעלעס
רבֿקהן	ריבֿקען
רבֿקהס	ריבֿקעס
רגזן	ראַגזן
רגזנות	ראַגזאָנעת
רגזנטע	ראַגזנטע
רגזנטעס	ראַגזנטעס
רגזנים	ראַגזאָנים
רגיל	ראָגל
רגילות	רעגילעת
רגילים	רעגילים
רגל	רעגל
רגלים	ראַגלאַיִם,רעגאָלים
רגע	רעגע
רגע כּמימרא	רעגע כּעמעמרע
רגע־כּמימרא	רעגע־כּעמעמרע
רדיפֿה	רעדיפֿעה
רדיפֿות	רעדיפֿעת
רואה ואינו ניראה	רויע וועיינע נירעה
רואה־ואינו־ניראה	רויע־וועיינע־נירעה
רואה חשבון	רויע חעזשבם
רואה־חשבון	רויע־חעזשבם
רובל כּסף	רובל כּעסעף
רובל־כּסף	רובל־כּעסעף
רובֿ	ראָוו
רובֿ בנין ורובֿ קנין	ראָווביניען וועראָווקיניען
רובֿ־בנין־ורובֿ־קנין	ראָווביניען־וועראָווקיניען
רובֿ גדלו ורובֿ עשרו	ראָווגאָדלע וועראָוואָשרע
רובֿ־גדלו־ורובֿ־עשרו	ראָווגאָדלע־וועראָוואָשרע
רובֿ דעות	ראָוו דייעת
רובֿ־דעות	ראָוו־דייעת
רובֿ כּוס	ראָוו כּאָס
רובֿ־כּוס	ראָוו־כּאָס
רובֿ מנין ורובֿ בנין	ראָוומיניען וועראָווביניען
רובֿ־מנין־ורובֿ־בנין	ראָוומיניען־וועראָווביניען
רוגז	רויגעז
רוגזא	רוגזע
רוגזה	רוגזעה
רודף כּבֿוד	רוידעף כּאָוועד
רודף־כּבֿוד	רוידעף־כּאָוועד
רודף שלום	רוידעף שאָלעם
רודף־שלום	רוידעף־שאָלעם
רודף שלומניק	רוידעף שאָלעמניק
רודף־שלומניק	רוידעף־שאָלעמניק
